00.0101 头部血管治疗性超声
06.0100x001 甲状腺区抽吸引流术
06.1101 超声引导下经皮甲状腺活组织检查术
06.1302 经皮甲状旁腺活组织检查
06.1303 超声引导下甲状旁腺活组织检查
06.1900 甲状腺和甲状旁腺的其他诊断性操作
07.1100 闭合性[经皮][针吸]肾上腺活组织检查
07.1600 胸腺活组织检查
07.1900 肾上腺、垂体、松果腺和胸腺的其他诊断性操作
08.0902 眼睑切开引流术
08.1100 眼睑活组织检查
08.1900 眼睑其他诊断性操作
08.2000x010 眼睑皮肤和皮下组织非切除性清创
08.2100x004 睑板腺脓肿切开引流术
09.0x00x001 泪囊切开引流术
09.1100 泪腺活组织检查
09.1200 泪囊活组织检查
09.1900 泪器系统其他诊断性操作
10.1x00x002 结膜引流术
10.2100 结膜活组织检查
10.2901 结膜刮片检查术
10.9100 结膜下注射
11.2100x001 角膜涂片检查
11.2200 角膜活组织检查
11.2900x003 角膜内皮细胞计数检查
11.2901 角膜印迹细胞检查
12.2100 眼前房诊断性抽吸术
12.2200 虹膜活组织检查
12.2900 虹膜、睫状体、巩膜和前房其他诊断性操作
14.1100 玻璃体诊断性抽吸
14.1901 脉络膜活组织检查
14.1902 视网膜活组织检查
15.0100x001 眼外肌活检术
15.0900 眼外肌和腱的其他诊断性操作
16.0900x006 鼻内镜下眶切开引流术
16.0902 眶切开引流术
16.2100x001 眼底检查
16.2200 眼眶诊断性抽吸
16.2301 眶活组织检查
16.2302 眼球内活组织检查
16.2900 眼眶和眼球的其他诊断性操作
16.9300x001 眶内脓肿引流术
16.9800x002 眼眶内穿刺引流术
17.4100 开放性机器人援助操作
17.4200 腹腔镜机器人援助操作
17.4300 经皮机器人援助操作
17.4400 内镜机器人援助操作
17.4500 胸腔镜机器人援助操作
17.4901 机器人辅助康复
17.6200x001 头颈部病损的激光质热疗法[LITT]
17.6300x001 肝病损激光间质热疗法[LITT]
17.6900x001 其他部位激光间质热疗法[LITT]
17.7000 氯法拉滨静脉内灌注
17.7100 手 术 中 非 冠 状 动 脉 荧 光 血 管 造 影 术[IFVA]
17.8100 抗菌外膜置入
17.91100 毫针治疗
17.91110 头针治疗
17.91120 腹针治疗
17.91130 眼针治疗
17.91140 手针治疗
17.91150 腕踝针治疗
17.91160 平衡针治疗
17.91170 醒脑开窍治疗
17.91180 靳三针治疗
17.91190 金针治疗
17.91210 耳针治疗
17.91220 三棱针治疗
17.91230 皮内针治疗
17.91240 火针治疗
17.91250 皮肤针治疗
17.91260 芒针治疗
17.91270 穴位注射治疗
17.91280 鍉针治疗
17.91290 埋线治疗
17.912A0 电针治疗
17.912B0 贺氏三通治疗
17.912C0 浮针治疗
17.91310 麦粒灸治疗
17.91320 隔物灸治疗
17.91330 悬灸治疗
17.91340 三伏天灸治疗
17.91350 温针灸治疗
17.91360 热敏灸治疗
17.91370 雷火灸治疗
17.92010 揉抓排乳治疗
17.92110 颈椎病推拿治疗
17.92120 第三腰椎横突综合征推拿治疗
17.92130 中风后遗症推拿治疗
17.92210 头痛推拿治疗
17.92220 眩晕推拿治疗
17.92230 失眠推拿治疗
17.92240 感冒推拿治疗
17.92250 咳喘推拿治疗
17.92260 心悸推拿治疗
17.92270 消渴推拿治疗
17.92280 面瘫推拿治疗
17.92290 近视推拿治疗
17.922A0 痛经推拿治疗
17.922B0 月经不调推拿治疗
17.922C0 胃脘痛推拿治疗
17.922D0 慢性胆囊炎推拿治疗
17.922E0 呃逆推拿治疗
17.922F0 腹泻推拿治疗
17.922G0 便秘推拿治疗
17.922H0 癃闭推拿治疗
17.922J0 乳蛾推拿治疗
17.92300 运动关节手法推拿治疗
17.92400 导引手法推拿治疗
17.92500 基本手法推拿治疗
17.92610 寰枢关节失稳推拿治疗
17.92620 颈椎小关节紊乱推拿治疗
17.92630 胸椎小关节紊乱推拿治疗
17.92640 腰椎小关节紊乱推拿治疗
17.92650 腰椎间盘突出推拿治疗
17.92660 骶髂关节紊乱症推拿治疗
17.92670 强直性脊柱炎推拿治疗
17.92680 落枕推拿治疗
17.92690 四肢关节错缝推拿治疗
17.92710 小儿肌性斜颈推拿治疗
17.92720 小儿发热推拿治疗
17.92730 小儿腹泻推拿治疗
17.92740 小儿咳嗽推拿治疗
17.92750 小儿捏脊治疗
17.92760 小儿流涎症推拿治疗
17.92770 小儿腹痛推拿治疗
17.92780 小儿夜啼推拿治疗
17.92790 小儿厌食推拿治疗
17.927A0 小儿呕吐推拿治疗
17.927B0 小儿便秘推拿治疗
17.927C0 小儿遗尿推拿治疗
17.927D0 小儿脱肛推拿治疗
17.927E0 小儿疳积推拿治疗
17.92800 器械辅助推拿治疗
17.92900 膏摩治疗
17.93100 刮痧治疗
17.93200 放痧治疗
17.93300 撮痧治疗
17.93400 砭石治疗
17.94100 拔罐治疗
17.94200 药罐治疗
17.94300 刺络拔罐治疗
17.94400 针罐治疗
17.95110 贴敷治疗(小)
17.95120 贴敷治疗(中)
17.95130 贴敷治疗(大)
17.95140 贴敷治疗(特大)
17.95150 穴位贴敷治疗
17.95210 烫熨治疗(小)
17.95220 烫熨治疗(中)
17.95230 烫熨治疗(大)
17.95240 烫熨治疗(特大)
17.95300 冷敷治疗
17.95410 中药蒸汽浴治疗
17.95420 中药熏药治疗
17.95430 中药硬膏热贴敷治疗
17.95510 中药局部熏洗治疗
17.95520 中药半身熏洗治疗
17.95530 中药全身熏洗治疗
17.95610 中药淋洗治疗
17.95710 中药塌渍治疗
17.95720 中药湿热敷治疗
17.96100 针刀治疗
17.96110 脊柱针刀治疗
17.96120 四肢关节针刀治疗
17.96130 手足针刀治疗
17.96200 带刃针疗法
17.96210 脊柱带刃针治疗
17.96300 水针刀治疗
17.96400 钩针治疗
17.96500 刃针治疗
17.96510 手足刃针治疗
17.96520 脊柱刃针治疗
17.96530 四肢关节刃针治疗
17.96600 长圆针治疗
17.96700 松解针松解治疗
17.96800 铍针治疗
17.97100 脱位合并撕脱骨折手法整复术
17.97110 颞颌关节脱位手法整复术
17.97120 肩锁关节脱位手法整复术
17.97130 胸锁关节脱位手法整复术
17.97140 肩关节脱位手法整复术
17.97150 肘关节脱位手法整复术
17.97160 桡骨头半脱位手法整复术
17.97170 桡骨头脱位手法整复术
17.97180 下桡尺关节脱位手法整复术
17.97190 桡腕关节脱位手法整复术
17.971A0 手腕部脱位手法整复术
17.971B0 髋关节脱位手法整复术
17.971C0 髌骨脱位手法整复术
17.971D0 足部关节脱位手法整复术
17.97200 经皮穿刺关节骨折闭合复位内固定术
17.97210 锁骨骨折手法整复术
17.97220 肱骨外科颈骨折手法整复术
17.97230 肱骨大结节骨折手法整复术
17.97240 肱骨干骨折手法整复术
17.97250 肱骨髁上骨折手法整复术
17.97260 肱骨髁间骨折手法整复术
17.97270 肱骨内外髁骨折手法整复术
17.97280 尺骨鹰嘴骨折手法整复术
17.97290 桡骨头骨折手法整复术
17.972A0 桡尺骨干双骨折手法整复术
17.972B0 桡尺骨干单骨折手法整复术
17.972C0 尺骨上 1/3 骨折合并桡骨头脱位手法整复术
17.972D0 桡骨下 1/3 骨折合并下尺桡关节脱位手法整复术
17.972E0 桡骨下端骨折手法整复术
17.972F0 腕舟骨骨折手法整复术
17.972G0 掌指骨骨折手法整复术
17.972H0 股骨颈/股骨转子间骨折手法整复术
17.972J0 股骨干骨折手法整复术
17.972K0 股骨髁上骨折手法整复术
17.972L0 髌骨骨折手法整复术
17.972M0 胫骨髁骨折手法整复术
17.972N0 胫腓骨干骨折手法整复术
17.972P0 踝关节单踝骨折手法整复术
17.972Q0 踝关节骨折脱位手法整复术
17.972R0 足部骨折手法整复术
17.972S0 脊柱骨折手法整复术
17.97310 小夹板固定治疗
17.97320 小夹板调整术
17.97330 骨折超关节夹板外固定术
17.97410 理筋手法治疗
17.97420 关节粘连手法松解术
17.97430 大关节粘连手法松解术
17.97500 练功康复疗法
17.98110 肛瘘挂线治疗
17.98121 复杂性高位肛周脓肿切开引流原发病灶清除挂线术
17.98122 肛肠术后紧线术
17.98123 肛门狭窄挂线术
17.98124 高位复杂肛瘘挂线治疗
17.98125 直肠狭窄挂线术
17.98211 内痔硬化剂注射治疗
17.98212 环状混合痔硬化剂注射治疗
17.98220 消痔灵注射治疗
17.98230 枯痔注射治疗
17.98310 单纯结扎治疗
17.98320 内痔套扎治疗
17.98340 经直肠多普勒痔动脉结扎治疗
17.98410 直肠滴注治疗
17.98421 结肠水疗
17.98422 经直肠中药滴入治疗
17.98510 直肠脱垂注射治疗
17.98511 直肠脱垂黏膜下注射治疗
17.98512 直肠前突出注射治疗
17.98521 完全性直肠脱垂双层硬化剂注射治疗
17.98611 肛周药物注射封闭治疗
17.98612 肛周穴位药物注射封闭治疗
17.99110 五禽戏治疗
17.99120 六字诀治疗
17.99130 易筋经治疗
17.99140 八段锦治疗
17.99150 五行掌治疗
17.99160 保健功治疗
17.99170 站桩功治疗
17.99180 回春功治疗
17.99190 放松功治疗
17.991A0 内养功治疗
17.991B0 强壮功治疗
17.991C0 真气运行法治疗
17.991D0 新气功疗法治疗
17.991E0 养气健目功治疗
17.991F0 龟息养生功治疗
17.99910 针刀刺营治疗急性扁桃体炎治疗
17.99920 火针洞式引流治疗
17.99930 烙治法治疗慢性扁桃体炎治疗
17.99940 脐疗法治疗
18.0100x002 耳垂切开引流术
18.0201 外耳道切开引流术
18.0900x002 耳后切开引流术
18.0901 耳前切开引流术
18.0902 耳廓切开引流术
18.1100 耳镜检查
18.1200 外耳活组织检查
18.1900 外耳其他诊断性操作
18.2900x017 耳廓皮肤和皮下组织非切除性清创
20.3100 耳蜗电图
20.3201 中耳活组织检查
20.3202 内耳活组织检查
20.3901 中耳镜检查
20.9400 鼓室注射
21.2100 鼻镜检查
21.2200 鼻活组织检查
21.2900 鼻其他诊断性操作
21.3200x011 鼻皮肤和皮下组织非切除性清创
22.1100 鼻窦闭合性[内镜的][针吸]活组织检查
22.1100x002 鼻内窥镜下鼻窦活检
22.1901 内镜下鼻窦检查
23.2x00 牙齿填充修复
23.3x00x001 义齿修复
23.4300 置入活动桥
24.0x01 根尖囊肿切开引流术
24.0x02 牙龈切开引流术
24.0x03 牙槽切开引流术
24.0x04 牙髓管切开引流术
24.1100 牙龈活组织检查
24.1200 牙槽活组织检查
24.1900 牙、牙龈和牙槽的其他诊断性操作
24.8x01 去除牙齿矫形器
25.0100 闭合性[针吸]舌活组织检查
25.0900 舌其他诊断性操作
25.9400x001 舌切开引流术
26.0x01 腮腺切开引流术
26.1100x001 唾液腺活检
26.1100x003 腮腺活检
26.1200x001 直视下腮腺活检术
26.1200x002 直视下唾液腺活检术
26.1900x001 唾液腺内镜检查
26.9900x002 涎腺穿刺引流术
27.0x01 颌间隙引流术
27.0x02 面部引流术
27.0x03 颌下切开引流术
27.0x04 颊部切开引流术
27.0x05 颏下切开引流术
27.0x06 口底切开引流术
27.0x07 舌下腺切开引流术
27.0x08 咽旁间隙切开引流术
27.0x09 唇切开引流术
27.0x10 面部脓肿引流术
27.1x02 腭切开引流术
27.2100 硬腭活组织检查
27.2101 内镜下硬腭活组织检查
27.2201 悬雍垂活组织检查
27.2202 软腭活组织检查
27.2300 唇活组织检查
27.2401 颊黏膜活组织检查
27.2402 口腔颌面部活组织检查
27.4300x011 唇部皮肤和皮下组织非切除性清创
27.9201 口内切开引流术
28.0x00x002 扁桃体周围切开引流术
28.0x00x003 扁桃体穿刺引流术
28.0x01 咽后组织切开引流术
28.0x02 扁桃体切开引流术
28.0x03 咽旁切开引流术
28.1101 扁桃体活组织检查
28.1102 腺样增殖体活组织检查
28.1900 扁桃体和腺样增殖体的其他诊断性操作
29.0x00x001 咽部切开引流术
29.0x00x005 咽瘘切开引流术
29.0x01 咽囊引流术
29.1100 咽镜检查
29.1100x002 纤维鼻咽镜检查
29.1201 声门上病损活组织检查
29.1202 鼻咽活组织检查
29.1203 内镜下鼻咽活组织检查
29.1204 支撑喉镜下咽部活组织检查
29.1900 咽的其他诊断性操作
31.3x00x001 支撑喉镜下喉切开引流术
31.3x00x005 会厌切开引流术
31.4100 气管镜检查，经人工造口
31.4200x001 支撑喉镜检查
31.4200x003 纤维喉镜检查
31.4201 喉镜检查
31.4202 气管镜检查
31.4300x002 纤维喉镜下喉活检
31.4301 内镜下声带活组织检查术
31.4400x001 气管镜下气管活检
31.4800 喉的其他诊断性操作
31.4900 气管的其他诊断性操作
33.2100 经人工造口的支气管镜检查
33.2200x002 荧光支气管镜检查
33.2200x003 纤维支气管镜检查
33.2300x002 磁导航支气管镜检查
33.2300x003 硬质支气管镜检查
33.2301 超声支气管镜检查
33.2302 电子支气管镜检查
33.2400x001 支气管镜下支气管活检
33.2400x002 支气管镜下诊断性支气管肺泡灌洗[BAL]
33.2402 超声内镜下支气管穿刺活组织检查术
33.2403 纤维支气管镜检查伴肺泡灌洗术
33.2405 气管镜刷检术
33.2600x001 肺穿刺活检
33.2600x002 经皮针吸肺活检
33.2700x001 支气管镜下肺活检
33.2701 气管镜透壁针吸活组织检查
33.2702 超声支气管镜下肺活组织检查
33.2703 支气管镜肺穿刺抽吸术
33.2900 肺和支气管的其他诊断性操作
33.7200 内镜肺气道流量测量
33.9302 肺穿刺引流术
34.0100x002 胸膜外引流术
34.0101 胸壁切开引流术
34.0400x001 胸腔引流管置换术
34.0401 胸腔闭式引流术
34.0402 胸腔闭式引流管调整术
34.2300 胸壁活组织检查
34.2400x001 胸膜活检
34.2500 闭合性纵隔[经皮][针吸]活组织检查
34.2501 内镜下纵隔活组织检查
34.2800 胸壁，胸膜和横膈的其他诊断性操作
34.9100x001 经皮胸膜病损穿刺定位术
34.9101 胸腔穿刺抽液术
34.9102 胸腔穿刺抽气术
34.9103 超声引导下胸腔穿刺术
34.9104 CT 引导下胸腔穿刺术
37.0x00x002 心包穿刺引流术
37.0x01 超声引导下心包穿刺引流术
37.7000 首次置入导线[电极]
37.7100 首次经静脉入心室置入导线[电极]
37.9500x001 心脏除颤器导线置入术
37.9500x002 自动心脏复律器导线置入术
37.9700x001 自动心脏复律器导线置换术
37.9700x002 心脏除颤器导线置换术
38.2100 血管活组织检查
38.2200 经皮血管镜检查
38.2900 血管其他诊断性操作
38.9100 动脉导管插入术
38.9100x601 肝动脉插管术
38.9100x602 髂内动脉插管术
38.9200 脐静脉导管插入术
38.9300 静脉导管插入术
38.9300x001 经皮岩下窦静脉取血术（IPSS）
38.9300x002 经皮肾上腺静脉取血术
38.9300x003 经皮肾静脉取血术
38.9300x004 经皮上腔静脉取血术
38.9300x005 经皮下腔静脉取血术
38.9300x006 经皮甲状旁腺静脉取血术
38.9300x007 经皮奇静脉取血术
38.9300x008 经皮肝静脉取血术
38.9300x201 颈静脉插管术
38.9300x202 经皮颈静脉肝内门静脉-腔静脉置管术
38.9300x701 肝静脉插管术
38.9300x702 肾静脉插管术
38.9300x901 大隐静脉插管术
38.9301 经外周静脉穿刺中心静脉置管术
38.9302 颈内静脉穿刺中心静脉置管术
38.9303 锁骨下静脉穿刺中心静脉置管术
38.9304 股静脉穿刺置管术
38.9502 为肾透析的临时静脉插管术
38.9700x002 引导下中心静脉置管术
38.9800x001 动脉穿刺术
38.9800x801 股动脉穿刺术
38.9900x002 静脉穿刺术
38.9900x501 锁骨下静脉穿刺术
38.9900x701 脐静脉穿刺术
38.9900x901 股静脉穿刺术
39.4100x002 股动脉穿刺部位封堵术
39.4301 前臂动静脉瘘管拔除术
39.6100 体外循环辅助开放性心脏手术
39.6200 低温(全身性)下开放性心脏手术
39.6300 心麻痹
39.6400 手术中心脏起搏器
39.6500x001 体外膜肺氧合［ECM0］安装术
39.6500x002 体外膜肺氧合［ECM0］撤离术
39.6600 经皮心肺搭桥
39.9200 静脉注射硬化药
39.9701 下肢血管灌注
39.9702 颈动脉灌注
39.9703 冠状动脉灌注
39.9704 头部血管灌注
39.9705 上肢血管灌注
40.0x00x001 淋巴结切开引流术
40.1100x005 经支气管超声内镜纵隔淋巴结穿刺活检术
40.1100x006 超声内镜下腹腔淋巴结细针穿刺活检(FNA)
40.1100x007 超声内镜下纵隔淋巴结细针穿刺活检(FNA)
40.1100x008 肺门淋巴结活检术
40.1100x009 纵隔淋巴结活检术
40.1100x010 颌下淋巴结活检术
40.1100x011 颌上淋巴结活检术
40.1101 颈淋巴结活组织检查
40.1102 锁骨上淋巴结活组织检查
40.1103 腋窝淋巴结活组织检查
40.1104 腹股沟淋巴结活组织检查
40.1106 内镜淋巴结活组织检查
40.1900x002 纳米炭淋巴结示踪及负显影
41.3100 骨髓活组织检查
41.3200x001 经皮脾活检
41.3800x001 骨髓穿刺术
41.3900 脾其他诊断性操作
42.2300x001 食管镜检查
42.2300x002 超声内镜下食管检查
42.2400x001 食管镜下活检
42.2400x003 超声内镜下食管细针穿刺活检(FNA)
42.2900 食管的其他诊断性操作
44.1200 经人工造口胃镜检查
44.1300x001 胃镜检查
44.1301 超声内镜下胃检查
44.1400x003 超声内镜下胃细针穿刺活检(FNA)
44.1401 胃镜下活组织检查
44.1402 超声内镜下胃活组织检查
44.1901 胃电图
45.1200x001 经人工造口小肠内镜检查
45.1300x001 小肠镜检查
45.1300x004 胃-十二指肠镜检查
45.1300x005 双(单)气囊小肠镜检查
45.1300x006 超声内镜下十二指肠检查
45.1300x007 超声内镜下小肠检查
45.1301 十二指肠镜检查术
45.1302 胶囊内镜检查术
45.1400x003 胃十二指肠镜下小肠刷洗活检
45.1401 内镜下小肠活组织检查
45.1402 内镜下回肠活组织检查
45.1600x001 胃十二指肠镜下活检
45.1900 小肠其他诊断性操作
45.2101 经腹大肠内镜检查（手术中）
45.2200x001 经人工造口大肠内镜检查
45.2300x001 内镜下逆行阑尾造影术
45.2301 可曲性光学纤维结肠镜检查
45.2302 电子结肠镜检查
45.2303 超声结肠镜检查
45.2401 乙状结肠镜检查
45.2500x004 结肠刷洗
45.2501 结肠镜下大肠活组织检查
45.2700 肠活组织检查
45.2800 大肠其他诊断性操作
45.2900 肠的其他诊断性操作
47.1100 腹腔镜下附带阑尾切除术
47.1900x001 附带阑尾切除术
48.2200 直肠乙状结肠镜检查经人工造口
48.2300 硬式直肠乙状结肠镜检查
48.2300x003 超声内镜下直肠检查
48.2301 直肠乙状结肠超声内镜检查
48.2400x002 直肠活检
48.2400x003 直肠-乙状结肠镜下直肠刷洗活检
48.2401 直肠乙状结肠镜下直肠活组织检查
48.2600 直肠周围组织活组织检查
48.2900 直肠、直肠乙状结肠和直肠周围组织的其他诊断性操作
48.8101 直肠周围脓肿切开引流术
49.0100x004 肛周脓肿切开引流术
49.2100 肛门镜检查
49.2200 肛周组织的活组织检查
49.2300 肛门活组织检查
49.2900 肛门和肛周组织的其他诊断性操作
49.3900x016 肛门皮肤和皮下组织非切除性清创
50.1100x001 超声引导下肝穿刺活检
50.1100x005 经皮肝穿刺活检
50.1101 超声内镜下细针穿刺肝活组织检查(FNA)
50.1300 经颈静脉肝活组织检查
50.1900 肝的其他诊断性操作
50.9101 经皮肝穿刺引流术
50.9102 肝脓肿穿刺引流术
50.9103 肝囊肿穿刺引流术
51.1102 胆道镜检查术
51.1103 电子子母胆道镜检查
51.1201 经皮胆囊活组织检查
51.1202 经皮胆管活组织检查
51.1401 内镜下胆管活组织检查
51.1402 内镜下胆囊活组织检查
51.1403 内镜下奥狄氏扩约肌活组织检查
51.1404 内镜下壶腹活组织检查
51.1900 胆管的其他诊断性操作
51.9802 经人工造口胆道镜检查术
51.9809 经 T 管胆道镜检查
52.1100x001 胰腺穿刺活检
52.1101 超声内镜下胰腺细针穿刺活组织检查
52.1301 胰管内镜检查术
52.1400 闭合性[内镜的]胰管活组织检查
52.1900x001 超声内镜下胰腺检查
52.2200x002 术中胰腺病损微波消融术
52.2200x003 术中胰腺病损冷冻消融术
54.0x00x001 骶部脓肿切开引流术
54.0x00x002 腹壁窦道切开引流术
54.0x00x004 腹壁脓肿切开引流术
54.0x00x006 腹膜外脓肿切开引流术
54.0x00x013 腹股沟脓肿切开引流术
54.0x00x018 腹膜后脓肿切开引流术
54.0x00x022 脐脓肿切开引流术
54.0x00x024 髂窝脓肿切开引流术
54.0x00x025 髂窝血肿切开引流术
54.0x02 腹壁切开引流术
54.0x04 腹股沟切开引流术
54.0x05 脐切开引流术
54.0x06 髂窝切开引流术
54.0x07 腹膜外切开引流术
54.0x08 腹膜后切开引流术
54.2200x004 腹壁穿刺活检
54.2201 腹壁活组织检查
54.2202 脐活组织检查
54.2400x001 腹内病损穿刺活检
54.2400x002 腹腔病损穿刺活检
54.2400x003 髂部病损穿刺活检
54.2400x006 盆腔病损穿刺活检
54.2401 经皮腹腔肿物活组织检查
54.2403 经皮腹膜活组织检查
54.2404 经皮腹膜后活组织检查
54.2500x001 腹腔冲洗检查
54.2900 腹部其他诊断性操作
54.9100x002 经腹盆腔穿刺引流术
54.9100x009 超声引导下盆腔穿刺术
54.9101 腹腔穿刺引流术
54.9102 盆腔穿刺引流术
54.9103 髂窝穿刺引流术
54.9105 腹腔穿刺术
54.9106 盆腔穿刺术
54.9600 空气注入腹膜腔
55.2101 经皮肾镜检查术
55.2200 肾盂镜检查
55.2300x001 超声引导下肾穿刺活检
55.2300x003 经尿道输尿管镜肾活检
55.2301 肾穿刺活组织检查
55.2302 内镜下肾盂活组织检查
55.2900 肾其他诊断性操作
56.3100 输尿管镜检查
56.3200 闭合性经皮输尿管活组织检查
56.3300x001 经尿道输尿管镜输尿管活检
56.3500x001 回肠代输出道内镜检查
56.3501 回肠通道膀胱镜检查
56.3502 回肠通道回肠镜检查
56.3900 输尿管其他诊断性操作
57.0x01 经尿道膀胱引流术
57.3100 膀胱镜检查经人工造口
57.3200x001 膀胱镜检查
55.3200x002 术中肾病损纳米刀消融术
57.3300 闭合性[经尿道]膀胱活组织检查
57.3900 膀胱其他诊断性操作
57.9400 留置导尿管的置入术
57.9500 留置导尿管的置换术
58.2100 会阴尿道镜检查
58.2200x001 尿道镜检查
58.2300 尿道活组织检查
58.2400 尿道周围组织活组织检查
58.2900 尿道和尿道周围组织的其他诊断性操作
59.2101 肾周活组织检查
59.2102 膀胱周围活组织检查
59.2900 肾周组织、膀胱周围组织和腹膜后的其他诊断性操作
59.8x02 肾导管引流术
59.9201 肾周穿刺引流术
59.9900x002 输尿管支架取出术
59.9901 输尿管支架置换术
59.9902 输尿管支架调整术
59.9903 尿道悬吊带部分取出术
60.1100x002 超声引导下前列腺穿刺活检
60.1100x003 经会阴前列腺穿剌活检术
60.1101 经直肠前列腺穿剌活组织检查
60.1300 闭合性[经皮]精囊活组织检查
60.1500 前列腺周围组织的活组织检查
60.1800 前列腺和前列腺周围组织的其他诊断性操作
60.9201 前列腺药物注射
61.0x01 睾丸鞘膜切开引流术
61.0x02 阴囊切开引流术
61.1101 阴囊活组织检查
61.1102 睾丸鞘膜活组织检查
61.1900 阴囊和睾丸鞘膜的其他诊断性操作
61.3x00x006 阴囊皮肤和皮下组织非切除性清创
62.0x02 睾丸切开引流术
62.1100 闭合性[经皮][针吸]睾丸活组织检查
62.1900 睾丸其他诊断性操作
62.9200 治疗性物质注入睾丸
63.0101 精索活组织检查
63.0102 附睾活组织检查
63.0103 输精管活组织检查
63.0900x001 输精管穿刺术
64.1100 阴茎活组织检查
64.1900 阴茎的其他诊断性操作
64.2x00x007 阴茎皮肤和皮下组织非切除性清创
65.1100 卵巢抽吸活组织检查
65.1400 腹腔镜卵巢的其他诊断性操作
65.1900 卵巢的其他诊断性操作
66.1100 输卵管的活组织检查
66.1900x001 输卵管镜检查
66.8x00x001 输卵管注气术
67.1100 子宫颈内活组织检查
67.1200x001 子宫颈活检
68.1100 子宫指检
68.1200x001 宫腔镜检查
68.1602 宫腔镜子宫活组织检查
68.1901 子宫诊断性探查术
69.0901 诊断性刮宫术
69.0902 宫腔镜诊断性刮宫术
69.6x01 月经抽吸术
69.9100x001 宫腔引流术
69.9300 昆布属植物置入
70.0x00x002 后穹窿穿刺引流术
70.0x00x003 经阴道腹腔穿刺引流术
70.1201 女性盆腔脓肿引流术
70.1400x011 阴道血肿切开引流术
70.1406 阴道切开引流术
70.2100 阴道镜检查
70.2200 陷凹镜检查(后穹窿镜检查)
70.2300 直肠子宫陷凹的活组织检查
70.2301 腹腔镜子宫直肠陷凹活组织检查
70.2400 阴道活组织检查
70.9400x001 膀胱/直肠/阴道同种异体补片植入
70.9400x002 膀胱/直肠/阴道自体补片植入
70.9400x003 膀胱/直肠/阴道异种补片植入
70.9500x001 膀胱/直肠/阴道人工补片置入
71.0900x001 会阴切开引流术
71.0902 外阴切开引流术
71.1100 外阴活组织检查
71.1900 外阴的其他诊断性操作
71.2200x002 前庭大腺脓肿切开引流术
71.3x00x022 女性会阴皮肤和皮下组织非切除性清创
71.3x00x024 女性外阴皮肤和皮下组织非切除性清创
73.0100 人工破膜引产
