B95.000 A 族链球菌作为分类于其他章疾病的原因
B95.100 B 族链球菌作为分类于其他章疾病的原因
B95.200 D 组链球菌和肠球菌疾病作为其他章节疾病分类的原因
B95.300 肺炎链球菌作为分类于其他章疾病的原因
I25.200x023 陈旧性下壁右心室心肌梗死
I25.200x024 陈旧性下壁高侧壁正后壁心肌梗死
I25.200x025 陈旧性侧壁心肌梗死
I25.200x026 陈旧性侧壁正后壁心肌梗死
I25.200x027 陈旧性前侧壁心肌梗死
I25.200x028 陈旧性下壁后壁右心室心肌梗塞
I25.200x029 陈旧性广泛前壁高侧壁心肌梗死
I25.200x030 陈旧性广泛前壁下壁心肌梗死
I25.200x031 陈旧性广泛前壁下壁高侧壁心肌梗死
I25.201 陈旧性高侧壁心肌梗死
I25.202 陈旧性后壁心肌梗死
I25.203 陈旧性前壁心肌梗死
I25.204 陈旧性前间壁心肌梗死
I25.205 陈旧性下壁后壁心肌梗死
I25.206 陈旧性下壁前壁心肌梗死
I25.207 陈旧性下壁心肌梗死
I25.208 陈旧性下壁正后壁心肌梗死
I50.900x007 心功能Ⅱ级（NYHA 分级）
I50.900x008 心功能 III 级（NYHA 分级）
I50.900x009 心功能Ⅱ--Ⅲ级（NYHA 分级）
I50.900x010 心功能 IV 级（NYHA 分级）
I50.900x014 KillipII 级
I50.900x015 KillipIII 级
I50.900x016 KillipIV 级
I51.900x002 心功能Ⅰ级（NYHA 分级）
I51.900x003 KillipⅠ级
O26.900x001 孕<5 周
O26.900x101 孕 5 周
O26.900x102 孕 6 周
O26.900x103 孕 7 周
O26.900x104 孕 8 周
O26.900x105 孕 9 周
O26.900x106 孕 10 周
O26.900x107 孕 11 周
O26.900x108 孕 12 周
O26.900x402 孕 27 周
O26.900x403 孕 28 周
O26.900x404 孕 29 周
O26.900x405 孕 30 周
O26.900x406 孕 31 周
O26.900x407 孕 32 周
O26.900x408 孕 33 周
O26.900x501 孕 34 周
O26.900x502 孕 35 周
O26.900x503 孕 36 周
O26.900x504 孕 37 周
O26.900x505 孕 38 周
O26.900x506 孕 39 周
O26.900x507 孕 40 周
O26.900x508 孕 41 周
O26.900x509 孕 42 周
O26.900x510 孕>42 周
O26.900x601 孕 0 次
O26.900x602 孕 1 次
O26.900x603 孕 2 次
O26.900x604 孕 3 次
O26.900x605 孕 4 次
O26.900x606 孕 5 次
O26.900x607 孕 6 次
O26.900x608 孕 7 次
O26.900x609 孕 8 次
O26.900x610 孕 9 次
O26.900x611 孕 10 次
O26.900x701 产 0 次
O26.900x702 产 1 次
O26.900x703 产 2 次
O26.900x704 产 3 次
O26.900x705 产 4 次
O26.900x706 产 5 次
O26.900x707 产 6 次
O26.900x708 产 7 次
O26.900x709 产 8 次
O26.900x710 产 9 次
O26.900x711 产 10 次
P00.001 母体妊娠高血压新生儿
P00.002 母体先兆子痫新生儿
P00.100 胎儿和新生儿受母体肾和泌尿道疾病的影响
P00.100x001 母体患肾病的新生儿
P00.101 母体肾衰竭新生儿
P00.200x001 母体甲型 H1N1 病毒感染的新生儿
P00.201 母体肺结核新生儿
P00.202 母体病毒性肝炎新生儿
P00.203 母体巨细胞病毒感染新生儿
P00.204 母体梅毒感染新生儿
P00.205 母体人类免疫缺陷病毒感染新生儿
P00.300 胎儿和新生儿受母体其他循环和呼吸疾病的影响
P00.301 母体先天性心脏病新生儿
P00.302 母体心肌病新生儿
P00.401 母体营养不良新生儿
P00.500 胎儿和新生儿受母体损伤的影响
P00.600 胎儿和新生儿受母体手术操作的影响
P00.701 胎儿和新生儿受母体放射性照射影响
P00.801 母体癫痫新生儿
P00.802 母体干燥综合征新生儿
P00.803 母体骨髓抑制新生儿
P00.804 母体甲状腺功能减退新生儿
P00.805 母体类风湿性关节新生儿
P00.806 母体皮肌炎新生儿
P00.808 母体血小板减少新生儿
P00.809 母体血小板减少性紫癜新生儿
P00.810 母体血友病新生儿
P00.811 母体阴道链球菌感染新生儿
P00.812 母体再生障碍性贫血新生儿
P00.813 母体重症肌无力新生儿
P00.900 胎儿和新生儿受母体情况的影响
P01.000 胎儿和新生儿受宫颈功能不全的影响
P01.100 胎儿和新生儿受胎膜早破的影响
P01.200 胎儿和新生儿受羊水过少的影响
P01.300 胎儿和新生儿受羊水过多的影响
P01.400 胎儿和新生儿受异位妊娠的影响腹腔妊娠
P01.501 双胎儿
P01.502 三胎儿
P01.600 胎儿和新生儿受母体死亡的影响
P01.700 胎儿和新生儿受产程开始前先露异常的影响
P01.800 胎儿和新生儿受母体其他妊娠并发症的影响
P01.900 胎儿和新生儿受母体妊娠并发症的影响
P02.000 胎儿和新生儿受前置胎盘的影响
P02.100 胎儿和新生儿受胎盘剥离和出血的其他形式的影响
P02.200 胎儿和新生儿受胎盘其他形态和功能异常的影响
P02.300x003 胎-母输血新生儿
P02.301 新生儿双胎输血综合征
P02.400 胎儿和新生儿受脐带脱垂的影响
P02.501 新生儿脐带绕颈
P02.600 胎儿和新生儿受脐带其他情况的影响
P02.602 新生儿脐带过短
P02.701 羊膜炎新生儿
P02.800 胎儿和新生儿受胎膜其他异常的影响
P02.900 胎儿和新生儿受胎膜异常的影响
P03.001 臀位分娩新生儿
P03.101 头盆不称新生儿
P03.201 产钳助产新生儿
P03.301 吸引器助产新生儿
P03.401 剖宫产术新生儿
P03.501 急产婴儿
P03.601 母体宫缩乏力新生儿
P03.800 胎儿和新生儿受产程和分娩的其他特指并发症的影响
P03.900 胎儿和新生儿受产程和分娩并发症的影响
P04.001 母体服麻醉药物新生儿
P04.101 母体服抗凝药新生儿
P04.102 母体癌症化疗新生儿
P04.200 胎儿和新生儿受母体使用烟草的影响
P04.300 胎儿和新生儿受母体使用酒精的影响
P04.400 胎儿和新生儿受母体药瘾的影响
P04.500 胎儿和新生儿受母体使用营养性、化学性物质的影响
P04.600 胎儿和新生儿受母体暴露于环境中化学物质的影响
P04.800 胎儿和新生儿受母体内其他有害物质的影响
P04.800x001 母体有机磷中毒新生儿
P04.900 胎儿和新生儿受母体内有害物质的影响
R65.000 传染性病因的全身炎症反应综合征不伴有器官衰竭
R65.100 传染性病因的全身炎症反应综合征伴有器官衰竭
R65.101 重症脓毒症
R65.200 非传染性病因的全身炎症反应综合征不伴有器官衰竭
R65.301 非感染性多器官功能障碍综合征（MODS）
R65.900 全身炎症反应综合征
U82.000 耐青霉素
U82.001 耐阿莫西林抗生素
U82.002 耐氨苄西林抗生素
U82.100 耐甲氧西林抗生素
U82.100x001 耐甲氧西林金黄色葡萄球菌（MRSA）
U82.101 耐氯唑西林抗生素
U82.102 耐氟氯西林抗生素
U82.103 耐苯唑西林抗生素
U82.200 耐广谱β-内酰胺酶
U82.200x001 产超广谱β-内酰胺酶肺炎克雷伯菌（ESBLs）
U82.200x002 产超广谱β-内酰胺酶大肠埃希菌（ESBLs）
U82.800 耐其他β-内酰胺类抗生素
U82.800x001 耐碳青霉烯类的鲍曼不动杆菌（CRAB）
U82.800x002 耐碳青霉烯类的铜绿假单胞菌（CRPA）
U82.800x003 耐碳青霉烯类的肠杆菌科菌（CRE）
U82.900 耐β-内酰胺类抗生素，未特指
U83.000 耐万古霉素
U83.000x001 耐万古霉素肠球菌（VRE）
U83.100 耐其他万古霉素相关类抗生素
U83.200 耐喹诺酮类抗生素
U83.700 耐多种抗生素
U83.800 耐其他特指单一抗生素
U83.900 耐其他抗生素的菌株
U84.000 耐抗寄生虫药物
U84.100 耐抗真菌药物
U84.200 耐抗病毒药物
U84.300 耐抗结核药物
U84.700 耐多种抗菌药物
U84.800 耐其他特指抗菌药物
U84.900 耐抗菌药物
U84.901 药物抵抗
U85.x00 耐抗肿瘤药物
U85.x01 抗肿瘤药物无效
U85.x02 难治性癌症
V01.x00 行人在与脚踏车碰撞中的损伤
V02.x00 行人在与两轮或三轮摩托车碰撞中的损伤
V03.x00 行人在与小汽车、轻型货车或篷车碰撞中的损伤
V04.x00 行人在与重型运输车或公共汽车碰撞中的损伤
V05.x00 行人在与火车或铁路车辆碰撞中的损伤
V06.x00 行人在与其他非机动车辆碰撞中的损伤
V09.000 行人在涉及其他和未特指指机动车辆的非交通事故中的损伤
V09.100 行人在非交通事故中的损伤
V09.200 行人在涉及其他和未特指机动车辆的交通事故中的损伤
V09.200x091 机动车辆与行人碰撞的交通事故
V09.200x092 行人被机动车辆碰撞的交通事故
V09.300 行人在交通事故中的损伤
V09.900 行人在运输事故中的损伤
V10.x00 骑脚踏车人员在脚踏车与行人或牲畜碰撞中的损伤
V11.x00 骑脚踏车人员在脚踏车与其他脚踏车碰撞中的损伤
V12.x00 骑脚踏车人员在脚踏车与两轮或三轮机动车碰撞中的损伤
V13.x00 骑脚踏车人员在脚踏车与小汽车、轻型货车或篷车碰撞中的损伤
V14.x00 骑脚踏车人员在脚踏车与重型运输车或公共汽车碰撞中的损伤
V15.x00 骑脚踏车人员在脚踏车与火车或铁路车辆碰撞中的损伤
V16.x00 骑脚踏车人员在脚踏车与其他非机动车辆碰撞中的损伤
V17.x00 骑脚踏车人员在脚踏车与固定或静止物体碰撞中的损伤
V18.x00 骑脚踏车人员在非碰撞性运输事故中的损伤
V19.000 非交通事故中脚踏车与其他机动车辆碰撞造成骑脚踏车人员的损伤
V19.100 非交通事故中脚踏车与其他的机动车辆碰撞造成乘脚踏车人员的损伤
V19.200 非交通事故中脚踏车与其他机动车辆碰撞造成的骑脚踏车人员的损伤
V19.300 骑脚踏车人员在非交通事故中的损伤
V19.400 交通事故中脚踏车与其他和未特指机动车辆碰撞造成骑脚踏车人员的损伤
V19.500 交通事故中脚踏车与其他机动车辆碰撞造成乘脚踏车人员的损伤
V19.600 交通事故中脚踏车与其他和未特指机动车辆碰撞造成骑不明确的脚踏车司、乘人员损伤
V19.800 骑脚踏车人员在其他特指的运输事故中的损伤
V19.900 骑脚踏车人员在交通事故中的损伤
V19.900x091 自行车的事故
V20.x00 骑摩托车人员在摩托车与行人或牲畜碰撞中的损伤
V21.x00 骑摩托车人员在摩托车与脚踏车碰撞中的损伤
V22.x00 骑摩托车人员在摩托车与两轮或三轮机动车碰撞中的损伤
V23.x00 骑摩托车人员在摩托车与小汽车、轻型货车或篷车碰撞中的损伤
V24.x00 骑摩托车人员在摩托车与重型运输车或公共汽车碰撞中的损伤
V25.x00 骑摩托车人员在摩托车与火车或铁路车辆碰撞中的损伤
V26.x00 骑摩托车人员在摩托车与其他非机动车辆碰撞中的损伤
V27.x00 骑摩托车人员在摩托车与固定或静止物体碰撞中的损伤
V28.x00 骑摩托车人员在非碰撞性运输事故中的损伤
V29.000 非交通事故中摩托车与其他机动车辆碰撞造成骑摩托车人员的损伤
V29.100 非交通事故中摩托车与其他的机动车辆碰撞造成乘摩托车人员的损伤
V29.200 非交通事故中摩托车与其他的机动车辆碰撞造成骑摩托车人员的损伤
V29.300 骑摩托车人员在非交通事故中的损伤
V29.400 交通事故中摩托车与其他和未特指机动车辆碰撞造成骑摩托车人员的损伤
V29.500 交通事故中摩托车与其他和未特指机动车辆碰撞造成乘摩托车人员的损伤
V29.600 交通事故中摩托车与其他机动车辆碰撞造成的和未特指骑摩托车人员的损伤
V29.800 骑摩托车人员在其他特指的运输事故中的损伤
V29.900 骑摩托车人员在交通事故中的损伤
V29.900x091 摩托车的事故
V30.x00 三轮机动车乘员在三轮机动车与行人或牲畜碰撞中的损伤
V31.x00 三轮机动车乘员在三轮机动车与脚踏车碰撞中的损伤
V32.x00 三轮机动车乘员在三轮机动车与两轮或三轮机动车碰撞中的损伤
V33.x00 三轮机动车乘员在三轮机动车与小汽车、轻型货车或篷车碰撞中的损伤
V34.x00 三轮机动车乘员在三轮机动车与重型运输车或公共汽车碰撞中的损伤
V35.x00 三轮机动车乘员在三轮机动车与火车或铁路车辆碰撞中的损伤
V36.x00 三轮机动车乘员在三轮机动车与其他非机动车辆碰撞中的损伤
V37.x00 三轮机动车乘员在三轮机动车与固定或静止物体碰撞中的损伤
V38.x00 三轮机动车乘员在非碰撞性运输事故中的损伤
V39.000 非交通事故中三轮机动车与其他机动车辆碰撞造成三轮机动车司机的损伤
V39.100 非交通事故中三轮机动车与其他机动车辆碰撞造成三轮机动车乘客的损伤
V39.200 非交通事故中三轮机动车与其他机动车辆碰撞造成的三轮机动车乘员的损伤
V39.300 三轮机动车乘员在非交通事故中的损伤
V39.400 交通事故中三轮机动车与其他和未特指机动车辆碰撞造成三轮机动车司机的损伤
V39.500 交通事故中三轮机动车与其他和未特指机动车辆碰撞造成三轮机动车乘客的损伤
V39.600 交通事故中三轮机动车与其他和未特指机动车辆碰撞造成的三轮机动车乘员的损伤
V39.800 三轮机动车乘员在其他特指运输事故中的损伤
V39.900 三轮机动车乘员在交通事故中的损伤
V39.900x091 三轮机动车的事故
V40.x00 小汽车乘员在小汽车与行人或牲畜碰撞中的损伤
V41.x00 小汽车乘员在小汽车与脚踏车碰撞中的损伤
V42.x00 小汽车乘员在小汽车与两轮或三轮机动车碰撞中的损伤
V43.x00 小汽车乘员在小汽车与小汽车、轻型货车或篷车碰撞中的损伤
V44.x00 小汽车乘员在小汽车与重型运输车或公共汽车碰撞中的损伤
V45.x00 小汽车乘员在小汽车与火车或铁路车辆碰撞中的损伤
V46.x00 小汽车乘员在小汽车与其他非机动车辆碰撞中的损伤
V47.x00 小汽车乘员在小汽车与固定或静止物体碰撞中的损伤
V48.x00 小汽车乘员在非碰撞性运输事故中的损伤
V49.000 非交通事故中小汽车与其他机动车辆碰撞造成小汽车司机的损伤
V49.100 非交通事故中小汽车与其他机动车辆碰撞造成小汽车乘客的损伤
V49.200 非交通事故中小汽车与其他机动车辆碰撞造成的小汽车乘员的损伤
V49.300 小汽车乘员在非交通事故中的损伤
V49.400 交通事故中小汽车与其他机动车辆碰撞造成小汽车司机损伤
V49.500 交通事故中小汽车与其他机动车辆碰撞造成小汽车乘客的损伤
V49.600 交通事故中小汽车与其他和未特指机动车辆碰撞造成的小汽车乘员的损伤
V49.800 小汽车乘员在其他特指运输事故中的损伤
V49.900 小汽车乘员在交通事故中的损伤
V49.900x091 小汽车的事故
V50.x00 轻型货车或篷车乘员在轻型货车或篷车与行人或牲畜碰撞中的损伤
V51.x00 轻型货车或篷车乘员在轻型货车或篷车与脚踏车碰撞中的损伤
V52.x00 轻型货车或篷车乘员在轻型货车或篷车与两轮或三轮机动车碰撞中的损伤
V53.x00 轻型货车或篷车乘员在轻型货车或篷车与小汽车、轻型货车或篷车碰撞中的损伤
V54.x00 轻型货车或篷车乘员在轻型货车或篷车与重型运输车或公共汽车碰撞中的损伤
V55.x00 轻型货车或篷车乘员在轻型货车或篷车与火车或铁路车辆碰撞中的损伤
V56.x00 轻型货车或篷车乘员在轻型货车或篷车与其他非机动车辆碰撞中的损伤
V57.x00 轻型货车或篷车乘员在轻型货车或篷车与固定或静止物体碰撞中的损伤
V58.x00 轻型货车或篷车乘员在非碰撞性运输事故中的损伤
V59.000 非交通事故中轻型货车或篷车与其他机动车辆碰撞造成轻型货车或篷车司机的损伤
V59.100 非交通事故中轻型货车或篷车与其他机动车辆碰撞造成轻型货车或篷车乘客的损伤
V59.200 非交通事故中轻型货车或篷车与其他机动车辆碰撞造成的轻型货车或篷车乘员的损伤
V59.300 轻型货车或篷车乘员在非交通事故中的损伤
V59.400 交通事故中轻型货车或篷车与其他和未特指机动车辆碰撞造成轻型货车或篷车司机的损伤
V59.500 交通事故中轻型货车或篷车与其他和未特指机动车辆碰撞造成轻型货车或篷车乘客的损伤
V59.600 交通事故中轻型货车或篷车与其他和未特指机动车辆碰撞造成和未特指的轻型货车或篷车乘员的损伤
V59.800 轻型货车或篷车乘员在其他特指运输事故中的损伤
V59.900 轻型货车或篷车乘员在交通事故中的损伤
V59.900x091 轻型货车或篷车事故
V60.x00 重型运输车乘员在重型运输车与行人或牲畜碰撞中的损伤
V61.x00 重型运输车乘员在重型运输车与脚踏车碰撞中的损伤
V62.x00 重型运输车乘员在重型运输车与两轮或三轮机动车碰撞中的损伤
V63.x00 重型运输车乘员在重型运输车与小汽车、轻型货车或篷车碰撞中的损伤
V64.x00 重型运输车乘员在重型运输车与重型运输车或公共汽车碰撞中的损伤
V65.x00 重型运输车乘员在重型运输车与火车或铁路车辆碰撞中的损伤
V66.x00 重型运输车乘员在重型运输车与其他非机动车辆碰撞中的损伤
V67.x00 重型运输车乘员在重型运输车与固定或静止物体碰撞中的损伤
V68.x00 重型运输车乘员在非碰撞性运输事故中的损伤
V69.000 非交通事故中重型运输车与其他机动车辆碰撞造成重型运输车司机的损伤
V69.100 非交通事故中重型运输车与其他机动车辆碰撞造成重型运输车乘客的损伤
V69.200 非交通事故中重型运输车与其他机动车辆碰撞造成的重型运输车乘员的损伤
V69.300 重型运输车乘员在非交通事故中的损伤
V69.400 交通事故中重型运输车与其他机动车辆碰撞造成重型运输车司机的损伤
V69.500 交通事故中重型运输车与其他机动车辆碰撞造成重型运输车乘客的损伤
V69.600 交通事故中重型运输车与其他和机动车辆碰撞造成重型运输车乘员的损伤
V69.800 重型运输车乘员在其他特指运输事故中的损伤
V69.900 重型运输车乘员在交通事故中的损伤
V70.x00 公共汽车乘员在公共汽车与行人或牲畜碰撞中的损伤
V71.x00 公共汽车乘员在公共汽车与脚踏车碰撞中的损伤
V72.x00 公共汽车乘员在公共汽车与两轮或三轮机动车碰撞中的损伤
V73.x00 公共汽车乘员在公共汽车与小汽车、轻型货车或篷车碰撞中的损伤
V74.x00 公共汽车乘员在公共汽车与重型运输车或公共汽车碰撞中的损伤
V75.x00 公共汽车乘员在公共汽车与火车或铁路车辆碰撞中的损伤
V76.x00 公共汽车乘员在公共汽车与其他非机动车辆碰撞中的损伤
V77.x00 公共汽车乘员在公共汽车与固定或静止物体碰撞中的损伤
V78.x00 公共汽车乘员在非碰撞性运输事故中的损伤
V79.000 非交通事故中公共汽车与其他机动车辆碰撞造成公共汽车司机的损伤
V79.100 非交通事故中公共汽车与其他机动车辆碰撞造成公共汽车乘客的损伤
V79.200 非交通事故中公共汽车与其他机动车辆碰撞造成的公共汽车乘员的损伤
V79.300 公共汽车乘员在非交通事故中的损伤
V79.400 交通事故中公共汽车与其他机动车辆碰撞造成公共汽车司机的损伤
V79.500 交通事故中公共汽车与其他机动车辆碰撞造成公共汽车乘客的损伤
V79.600 交通事故中公共汽车与其他机动车辆碰撞造成公共汽车乘员的损伤
V79.800 公共汽车乘员在其他特指运输事故中的损伤
V79.900 公共汽车乘员在交通事故中的损伤
V79.900x091 公共汽车的事故
V80.000 在非碰撞性事故中骑手或乘员从牲畜或畜挽车辆上跌落或抛出
V80.000x091 骑手跌落
V80.100 骑手或乘员在与行人或牲畜碰撞中的损伤
V80.200 骑手或乘员在与脚踏车碰撞中的损伤
V80.300 骑手或乘员在与两轮或三轮机动车碰撞中的损伤
V80.400 骑手或乘员在与小汽车、轻型货车、篷车、重型运输车或公共汽车碰撞的损伤
V80.500 骑手或乘员在与其他特指的机动车辆碰撞中的损伤
V80.600 骑手或乘员在与火车或铁路车辆碰撞中的损伤
V80.700 骑手或乘员在与其他非机动车辆碰撞中的损伤
V80.700x091 骑手或乘员与（市内有轨）电车的碰撞
V80.700x092 骑手或乘员与畜挽车辆的碰撞
V80.700x093 骑手或乘员与被驱赶的牲畜的碰撞
V80.800 骑手或乘员在与固定或静止物体碰撞中的损伤
V80.900 骑手或乘员在其他和未特指的运输事故中的损伤
V80.900x091 畜挽车辆的事故
V81.000 非交通事故中因与机动车辆碰撞造成火车或铁路车辆乘员的损伤
V81.100 交通事故中因与机动车辆碰撞造成火车或铁路车辆乘员的损伤
V81.100x091 火车与机动车辆碰撞的交通事故
V81.200 因与铁路列车碰撞或被铁路车辆撞击造成火车或铁路车辆乘员的损伤
V81.200x091 铁路上列车碰撞事故
V81.300 因与其他物体碰撞造成火车或铁路车辆乘员的损伤
V81.400 在上下火车或铁路车辆时的人员损伤
V81.500 火车或铁路车辆乘员在火车或铁路车辆上跌倒造成的损伤
V81.600 火车或铁路车辆乘员从火车或铁路车辆上跌落造成的损伤
V81.700 不伴有事先碰撞而出轨造成的火车或铁路车辆乘员的损伤
V81.800 铁路事故中火车或铁路车辆乘员的损伤，其他特指的
V81.800x091 火车或铁路车辆乘员被落下的树击中
V81.800x092 火车或铁路车辆乘员被落下的石块击中
V81.800x093 火车或铁路车辆乘员被落下的土块击中
V81.900 铁路事故中火车或铁路车辆乘员的损伤
V82.000 非交通事故中因与机动车辆碰撞造成（市内有轨）电车乘员的损伤
V82.100 交通事故中因与机动车辆碰撞造成（市内有轨）电车乘员的损伤
V82.200 因与车辆碰撞或被车辆撞击造成（市内有轨）电车乘员的损伤
V82.300 因与其他物体碰撞造成（市内有轨）电车乘员的损伤
V82.400 在上下（市内有轨）电车时的人员损伤
V82.500 市内有轨电车乘员在市内有轨电车上跌倒造成的损伤
V82.600 市内有轨电车乘员从市内有轨电车上跌落造成的损伤
V82.700 不伴有事先碰撞而出轨造成的市内有轨电车乘员的损伤
V82.800 运输事故中（市内有轨）电车乘员的损伤，其他特指的
V82.900 交通事故中（市内有轨）电车乘员的损伤
V82.900x091 （市内有轨）电车事故
V83.000 交通事故中专用工业车辆上的司机的损伤
V83.100 交通事故中专用工业车辆上的乘客的损伤
V83.200 交通事故中专用工业车辆外部人员的损伤
V83.300 交通事故中专用工业车辆上的乘员的损伤
V83.400 在上下专用工业车辆时的人员损伤
V83.500 非交通事故中专用工业车辆上的司机的损伤
V83.600 非交通事故中专用工业车辆上的乘客的损伤
V83.700 非交通事故中专用工业车辆外部人员的损伤
V83.900 非交通事故中专用工业车辆上的乘员的损伤
V83.900x091 专用工业车辆事故
V84.000 交通事故中专用农业车辆上的司机的损伤
V84.100 交通事故中专用农业车辆上的乘客的损伤
V84.200 交通事故中专用农业车辆外部人员的损伤
V84.200x091 骑摩托车被拖拉机撞伤
V84.300 交通事故中专用农业车辆上的乘员的损伤
V84.400 在上下专用农业车辆时的人员损伤
V84.500 非交通事故中专用农业车辆上的司机的损伤
V84.600 非交通事故中专用农业车辆上的乘客的损伤
V84.700 非交通事故中专用农业车辆外部人员的损伤
V84.900 非交通事故中专用农业车辆上的乘员的损伤
V84.900x091 专用农业车辆事故
V85.000 交通事故中专用建筑车辆上的司机的损伤
V85.100 交通事故中专用建筑车辆上的乘客的损伤
V85.200 交通事故中专用建筑车辆外部人员的损伤
V85.300 交通事故中专用建筑车辆上的乘员的损伤
V85.400 在上下专用建筑车辆时的人员损伤
V85.500 非交通事故中专用建筑车辆上的司机的损伤
V85.600 非交通事故中专用建筑车辆上的乘客的损伤
V85.700 非交通事故中专用建筑车辆外部人员的损伤
V85.900 非交通事故中专用建筑车辆上的乘员的损伤
V85.900x091 专用建筑车辆事故
V86.000 交通事故中全地带或其他越野机动车上的司机的损伤
V86.100 交通事故中全地带或其他越野机动车上的乘客的损伤
V86.200 交通事故中全地带或其他越野机动车外部人员的损伤
V86.300 交通事故中全地带或其他越野机动车上的乘员的损伤
V86.400 在上下全地带或其他越野机动车时的人员损伤
V86.500 非交通事故中全地带或其他越野机动车上的司机的损伤
V86.600 非交通事故中全地带或其他越野机动车上的乘客的损伤
V86.700 非交通事故中全地带或其他越野机动车外部人员的损伤
V86.700x091 涉及其他越野机动车辆的非交通性事故
V86.900 非交通事故中全地带或其他越野机动车上的乘员的损伤
V87.000 小汽车和两轮或三轮机动车之间碰撞造成的人员损伤（交通性）
V87.100 机动车辆和两轮或三轮机动车之间碰撞造成的人员损伤（交通性），其他的
V87.200 小汽车和轻型货车或篷车之间碰撞造成的人员损伤（交通性）
V87.300 小汽车和公共汽车之间碰撞造成的人员损伤（交通性）
V87.400 小汽车和重型运输车之间碰撞造成的人员损伤（交通性）
V87.500 重型运输车和公共汽车之间碰撞造成的人员损伤（交通性）
V87.600 火车或铁路车辆和小汽车之间碰撞造成的人员损伤（交通性）
V87.700 机动车辆之间碰撞造成的人员损伤（交通性），其他特指的
V87.800 涉及机动车辆非碰撞性运输事故中的人员损伤（交通性），其他特指的
V87.900 涉及非机动车辆（碰撞性）（非碰撞性）运输事故中的人员损伤（交通性），其他特指的
V88.000 小汽车和两轮或三轮机动车之间碰撞造成的人员损伤，非交通性
V88.100 机动车辆和两轮或三轮机动车之间碰撞造成的人员损伤，非交通性，其他的
V88.200 小汽车和轻型货车或篷车之间碰撞造成的人员损伤，非交通性
V88.300 小汽车和公共汽车之间碰撞造成的人员损伤，非交通性
V88.400 小汽车和重型运输车之间碰撞造成的人员损伤，非交通性
V88.500 重型运输车和公共汽车之间碰撞造成的人员损伤，非交通性
V88.600 火车或铁路车辆和小汽车之间碰撞造成的人员损伤，非交通性
V88.700 机动车辆之间碰撞造成的人员损伤，非交通性，其他特指的
V88.800 涉及机动车辆非碰撞性运输事故中的人员损伤，非交通性，其他特指的
V88.900 涉及非机动车辆（碰撞性）（非碰撞性）运输事故中的人员损伤，非交通性，其他特指的
V89.000 机动车辆事故中的人员损伤，非交通性
V89.100 非机动车辆事故中的人员损伤，非交通性
V89.200 机动车辆事故中的人员损伤，交通性
V89.200x091 机动车交通事故
V89.200x092 机动车辆失控引起的交通事故
V89.200x093 机动车相撞
V89.300 非机动车辆事故中的人员损伤，交通性
V89.900 车辆事故中的人员损伤
V90.x00 船舶事故引起的淹溺和沉没
V91.x00 船舶事故引起的其他损伤
V92.x00 与水上运输有关的非船舶事故的淹溺和沉没
V93.x00 非船舶事故的船上事故，未引起淹溺和沉没
